running model M5 dataset auto_mpg file= /home/local/manuel.fernandez.delgado/artigos/comparacion_regresores/experiments/data/auto_mpg/auto_mpg_R.dat ...
#pruned: 2 values:  1 2
#smoothed: 2 values:  1  2 
#rules: 2 values:  1  2 
            progress	              pruned	            smoothed	               rules	                rmse	                best
               11.11	                   1	                   1	                   1	            0.245605	            0.245605
               22.22	                   1	                   1	                   2	            0.245605	            0.245605
               33.33	                   1	                   2	                   1	            0.230087	            0.230087
               44.44	                   1	                   2	                   2	            0.185271	            0.185271
               55.56	                   2	                   1	                   1	            0.231614	            0.185271
               66.67	                   2	                   1	                   2	            0.167643	            0.167643
               77.78	                   2	                   2	                   1	            0.236288	            0.167643
               88.89	                   2	                   2	                   2	            0.167026	            0.167026
best_pruned= 2 best_smoothed= 2 best_rules= 2 best_rmse=0.167026
test stage
         progress(%)	           partition	                RMSE
               88.91	                   1	            0.167623
               88.93	                   2	              0.1491
               88.96	                   3	            0.158686
               88.98	                   4	            0.159357
               89.00	                   5	            0.153141
               89.02	                   6	            0.152844
               89.04	                   7	            0.174654
               89.07	                   8	            0.188396
               89.09	                   9	            0.177387
               89.11	                  10	            0.174202
               89.13	                  11	             0.14301
               89.16	                  12	            0.153595
               89.18	                  13	            0.199509
               89.20	                  14	            0.191774
               89.22	                  15	              0.1758
               89.24	                  16	            0.193583
               89.27	                  17	            0.178013
               89.29	                  18	             0.18673
               89.31	                  19	            0.156133
               89.33	                  20	            0.149976
               89.36	                  21	            0.189861
               89.38	                  22	            0.202382
               89.40	                  23	            0.178144
               89.42	                  24	            0.179576
               89.44	                  25	            0.160129
               89.47	                  26	             0.15843
               89.49	                  27	            0.152552
               89.51	                  28	            0.137728
               89.53	                  29	            0.171351
               89.56	                  30	            0.121402
               89.58	                  31	             0.16341
               89.60	                  32	            0.127794
               89.62	                  33	            0.153712
               89.64	                  34	            0.196917
               89.67	                  35	            0.174185
               89.69	                  36	            0.206026
               89.71	                  37	            0.180181
               89.73	                  38	            0.150563
               89.76	                  39	            0.135657
               89.78	                  40	            0.163358
               89.80	                  41	            0.176654
               89.82	                  42	            0.152456
               89.84	                  43	             0.18125
               89.87	                  44	            0.178679
               89.89	                  45	             0.18127
               89.91	                  46	             0.13609
               89.93	                  47	            0.173636
               89.96	                  48	            0.185739
               89.98	                  49	            0.148851
               90.00	                  50	            0.187883
               90.02	                  51	            0.152762
               90.04	                  52	            0.167442
               90.07	                  53	            0.153731
               90.09	                  54	            0.136591
               90.11	                  55	            0.137569
               90.13	                  56	            0.171695
               90.16	                  57	            0.154968
               90.18	                  58	            0.144478
               90.20	                  59	            0.168635
               90.22	                  60	            0.234618
               90.24	                  61	            0.137441
               90.27	                  62	            0.198031
               90.29	                  63	             0.16156
               90.31	                  64	            0.153389
               90.33	                  65	            0.149511
               90.36	                  66	            0.135346
               90.38	                  67	             0.12743
               90.40	                  68	            0.177444
               90.42	                  69	            0.173574
               90.44	                  70	            0.154782
               90.47	                  71	            0.208767
               90.49	                  72	             0.12274
               90.51	                  73	            0.161596
               90.53	                  74	            0.132477
               90.56	                  75	            0.145124
               90.58	                  76	            0.165218
               90.60	                  77	             0.16887
               90.62	                  78	            0.164964
               90.64	                  79	              0.1688
               90.67	                  80	            0.186822
               90.69	                  81	            0.170562
               90.71	                  82	             0.16601
               90.73	                  83	            0.169983
               90.76	                  84	            0.183512
               90.78	                  85	            0.139224
               90.80	                  86	            0.151267
               90.82	                  87	            0.156867
               90.84	                  88	             0.17932
               90.87	                  89	            0.239647
               90.89	                  90	            0.171893
               90.91	                  91	            0.163244
               90.93	                  92	            0.159816
               90.96	                  93	            0.150483
               90.98	                  94	            0.175567
               91.00	                  95	            0.165655
               91.02	                  96	            0.167885
