     trial        R^2       RMSE        MAE
         1   0.869987   0.167623   0.134269
         2   0.884315     0.1491   0.109898
         3   0.879438   0.158686   0.130194
         4   0.869535   0.159357   0.124388
         5   0.904788   0.153141   0.114937
         6   0.901857   0.152844   0.116747
         7   0.865263   0.174654    0.13733
         8    0.84193   0.188396   0.144433
         9   0.862904   0.177387   0.138428
        10   0.843324   0.174202   0.138676
        11   0.911609    0.14301   0.112978
        12    0.89261   0.153595   0.115167
        13   0.826788   0.199509   0.149181
        14   0.815591   0.191774   0.157435
        15   0.876055     0.1758   0.137178
        16   0.835334   0.193583   0.139948
        17   0.808337   0.178013   0.141498
        18   0.890278    0.18673   0.159421
        19   0.899841   0.156133    0.11924
        20   0.889707   0.149976   0.120369
        21   0.847979   0.189861   0.141756
        22   0.805847   0.202382   0.144463
        23   0.884395   0.178144   0.130632
        24   0.868284   0.179576   0.135628
        25   0.881546   0.160129   0.123185
        26   0.848333    0.15843   0.122452
        27   0.891603   0.152552   0.123916
        28   0.900369   0.137728   0.109739
        29   0.833624   0.171351   0.130803
        30   0.940432   0.121402  0.0947249
        31   0.890987    0.16341   0.127862
        32   0.912608   0.127794   0.109183
        33   0.891317   0.153712    0.11008
        34   0.854869   0.196917   0.155857
        35   0.831044   0.174185   0.134876
        36   0.842724   0.206026   0.155549
        37   0.836165   0.180181   0.153166
        38   0.875102   0.150563   0.119934
        39   0.921917   0.135657   0.105751
        40   0.841537   0.163358   0.125342
        41    0.87707   0.176654   0.113157
        42   0.890425   0.152456   0.126183
        43   0.828873    0.18125    0.14762
        44   0.813407   0.178679    0.14239
        45   0.869843    0.18127   0.147821
        46   0.913115    0.13609   0.103923
        47   0.873785   0.173636   0.135462
        48   0.787219   0.185739   0.144403
        49   0.915831   0.148851   0.127206
        50   0.851099   0.187883   0.148665
        51   0.875353   0.152762   0.119972
        52   0.867135   0.167442   0.135937
        53   0.858362   0.153731   0.126687
        54   0.905856   0.136591   0.108943
        55   0.902868   0.137569   0.105765
        56   0.891662   0.171695   0.126099
        57   0.860454   0.154968   0.115875
        58   0.911938   0.144478   0.112071
        59   0.891292   0.168635   0.124542
        60   0.772575   0.234618   0.174761
        61   0.897035   0.137441   0.113795
        62   0.756816   0.198031   0.147887
        63   0.856802    0.16156    0.11906
        64   0.907213   0.153389   0.115948
        65   0.846736   0.149511   0.121036
        66   0.911842   0.135346    0.10267
        67   0.904873    0.12743  0.0967552
        68    0.84573   0.177444   0.137018
        69   0.871423   0.173574   0.133546
        70   0.889888   0.154782    0.11943
        71   0.807239   0.208767   0.164761
        72   0.926086    0.12274   0.101613
        73   0.871375   0.161596   0.129793
        74   0.919699   0.132477   0.100336
        75   0.907765   0.145124   0.115015
        76   0.862636   0.165218   0.135041
        77   0.882273    0.16887   0.136312
        78    0.90101   0.164964   0.130799
        79   0.876346     0.1688   0.120388
        80   0.838386   0.186822    0.13904
        81   0.847903   0.170562   0.134273
        82   0.842857    0.16601   0.125229
        83   0.885301   0.169983   0.128275
        84   0.836777   0.183512   0.141255
        85   0.911014   0.139224   0.106914
        86   0.906326   0.151267   0.122615
        87   0.906236   0.156867   0.133086
        88   0.833799    0.17932   0.147775
        89   0.729673   0.239647   0.168727
        90   0.874956   0.171893   0.143273
        91    0.81663   0.163244   0.122653
        92   0.879068   0.159816   0.128207
        93   0.904284   0.150483   0.121105
        94   0.893338   0.175567   0.146449
        95   0.842594   0.165655   0.131416
        96   0.837722   0.167885   0.136971
        97   0.782219   0.193408   0.155252
        98   0.911969    0.13557  0.0975111
        99   0.920624   0.127351   0.100798
       100   0.916911   0.143249   0.110903
       101   0.896304   0.135574   0.111012
       102   0.859754   0.175619   0.125445
       103   0.911543   0.133463   0.103528
       104   0.931162   0.124045    0.10174
       105   0.903207   0.146447   0.121436
       106   0.916516   0.163986   0.141394
       107   0.909632   0.135028   0.110273
       108   0.907528   0.139844   0.105286
       109    0.90664   0.141902   0.115479
       110   0.883753   0.158592   0.132189
       111   0.873884   0.153525   0.111127
       112    0.88031    0.15291   0.109265
       113    0.89608   0.157621   0.129142
       114   0.880506   0.141888    0.10951
       115   0.836457   0.173915    0.13604
       116   0.860777   0.167883   0.124096
       117   0.874227   0.160036   0.127443
       118   0.917401    0.13956   0.111198
       119   0.888465   0.146751   0.113727
       120   0.887346   0.151413   0.120335
       121   0.853574   0.158517   0.127045
       122    0.90724   0.175114   0.126274
       123   0.892528   0.166595   0.123303
       124    0.90569   0.144607   0.120568
       125   0.833616   0.164257   0.128698
       126   0.775886   0.211131   0.155708
       127   0.907523   0.155382   0.125483
       128   0.749865   0.226259   0.151919
       129   0.859658   0.205833   0.161038
       130     0.8383   0.173412   0.138782
       131   0.836963     0.1808   0.146372
       132   0.863895   0.183053   0.143571
       133   0.888994   0.137973   0.105443
       134   0.895388   0.125627   0.103875
       135   0.889859   0.156278   0.128917
       136   0.877391   0.180703   0.132288
       137   0.899578   0.135237   0.105604
       138   0.877077   0.180989    0.13628
       139   0.910885   0.128019  0.0955215
       140    0.85825   0.163735   0.130423
       141   0.886094   0.149651   0.122011
       142   0.921208   0.171422   0.130163
       143   0.876612   0.155858    0.12169
       144   0.862144   0.170051    0.13411
       145   0.864609   0.183566   0.138081
       146    0.89463   0.154072   0.124337
       147   0.837462   0.179955   0.125385
       148   0.860822   0.171035   0.135206
       149   0.905028   0.154101   0.128049
       150   0.860233   0.176237   0.131302
       151   0.892568   0.165743   0.120214
       152   0.855859   0.170954   0.138198
       153   0.867432   0.166934   0.128719
       154    0.86921   0.155384   0.113386
       155   0.849593   0.178534   0.129618
       156   0.874345   0.160472   0.124603
       157   0.900948   0.149957   0.120247
       158   0.857284   0.167245   0.138844
       159   0.904383   0.150887   0.114771
       160   0.828867   0.167872   0.124344
       161   0.877198   0.184015   0.143828
       162   0.903951   0.147061   0.111651
       163     0.7381   0.222147   0.152899
       164   0.890063   0.139429   0.109058
       165   0.832921   0.211672   0.169785
       166   0.875163   0.167618   0.126765
       167   0.920219   0.143172   0.115998
       168   0.852785   0.147283   0.119426
       169   0.800185   0.188069   0.147118
       170   0.913878   0.150258   0.113128
       171   0.867849    0.16224   0.123879
       172    0.87062   0.153195   0.118946
       173   0.807618   0.173926   0.132895
       174   0.886832   0.151729   0.117951
       175   0.873638   0.163503   0.126674
       176   0.873709     0.1575   0.119547
       177   0.896917   0.141822   0.108282
       178   0.926171   0.126698   0.101597
       179   0.891998   0.137723   0.109032
       180   0.911273   0.151838   0.115817
       181   0.863321   0.161143   0.120773
       182   0.895277    0.14115   0.118702
       183   0.672639   0.264755   0.210917
       184   0.911214   0.148664   0.117075
       185   0.872671   0.171693    0.12396
       186   0.914509    0.13456   0.101831
       187    0.90308   0.138709   0.111266
       188   0.879765   0.157386   0.126372
       189   0.772717   0.206211    0.15645
       190   0.888191    0.15125   0.126441
       191   0.915915   0.136013  0.0997994
       192   0.827762   0.173482   0.134998
       193   0.876256   0.150839   0.117512
       194   0.895644   0.176766    0.13035
       195   0.917807   0.140868   0.102332
       196   0.840637   0.191564   0.155401
       197   0.857882   0.171648   0.135881
       198   0.899274   0.144377    0.11546
       199   0.886461   0.153461   0.127675
       200   0.839687   0.162849   0.135074
       201   0.870961   0.180697   0.147755
       202    0.78162    0.18055    0.12874
       203   0.869203    0.15604    0.13001
       204   0.915431   0.142124   0.115432
       205   0.818001   0.189007   0.147659
       206   0.882718    0.14946   0.114511
       207   0.827788   0.214136   0.157445
       208   0.844726   0.200927   0.167204
       209    0.89311   0.151514   0.117724
       210   0.800374   0.193939    0.15458
       211   0.863104   0.146034   0.119583
       212   0.848695   0.167432   0.138147
       213   0.898054   0.156811    0.11948
       214   0.894165   0.150144   0.116335
       215    0.87455   0.162953   0.127276
       216   0.865016   0.177961   0.138518
       217   0.822579   0.182819    0.13371
       218   0.851303   0.186447   0.136311
       219   0.908803   0.142035   0.116026
       220   0.919547   0.129596   0.104656
       221   0.903604   0.165433    0.12423
       222   0.835952   0.217682   0.154868
       223    0.90178   0.165107   0.132656
       224   0.832354   0.198147   0.162281
       225   0.840012   0.201442   0.154332
       226   0.866004   0.181033   0.146729
       227   0.881525   0.156341   0.125887
       228    0.82007   0.197002   0.153743
       229   0.860303   0.166261   0.135764
       230   0.829989   0.178464   0.128521
